Iterations,Mean,Standard Deviation
1,40127769.7048091,4380900.881870757
2,40127769.7048091,4380900.881870757
3,40127769.7048091,4380900.881870757
4,40127769.7048091,4380900.881870757
5,40127769.7048091,4380900.881870757
