Iterations,Mean,Standard Deviation
1,40239232.06213794,4651622.7906027865
2,40239232.06213794,4651622.7906027865
3,40239232.06213794,4651622.7906027865
4,40239232.06213794,4651622.7906027865
5,40239232.06213794,4651622.7906027865
