Iterations,Mean,Standard Deviation
1,39887203.472978465,4292025.300975797
2,39887203.472978465,4292025.300975797
3,39887203.472978465,4292025.300975797
4,39887203.472978465,4292025.300975797
5,39887203.472978465,4292025.300975797
