Iterations,Mean,Standard Deviation
1,39811449.01719108,4770961.711317853
2,39811449.01719108,4770961.711317853
3,39811449.01719108,4770961.711317853
4,39811449.01719108,4770961.711317853
5,39811449.01719108,4770961.711317853
