Iterations,Mean,Standard Deviation
1,39605222.56488399,4185611.912547725
2,39605222.56488399,4185611.912547725
3,39605222.56488399,4185611.912547725
4,39605222.56488399,4185611.912547725
5,39605222.56488399,4185611.912547725
