Iterations,Mean,Standard Deviation
1,40012776.76915629,4080349.7809733455
2,40012776.76915629,4080349.7809733455
3,40012776.76915629,4080349.7809733455
4,40012776.76915629,4080349.7809733455
5,40012776.76915629,4080349.7809733455
