Iterations,Mean,Standard Deviation
1,39991092.51793441,4812391.2886
2,39991092.51793441,4812391.2886
3,39991092.51793441,4812391.2886
4,39991092.51793441,4812391.2886
5,39991092.51793441,4812391.2886
