Iterations,Mean,Standard Deviation
1,40253787.647992805,4677032.300511615
2,40253787.647992805,4677032.300511615
3,40253787.647992805,4677032.300511615
4,40253787.647992805,4677032.300511615
5,40253787.647992805,4677032.300511615
