Iterations,Mean,Standard Deviation
1,39460201.479346074,4629149.871951872
2,39460201.479346074,4629149.871951872
3,39460201.479346074,4629149.871951872
4,39460201.479346074,4629149.871951872
5,39460201.479346074,4629149.871951872
