Iterations,Mean,Standard Deviation
1,39735249.19093068,4774195.654527306
2,39735249.19093068,4774195.654527306
3,39735249.19093068,4774195.654527306
4,39735249.19093068,4774195.654527306
5,39735249.19093068,4774195.654527306
