Iterations,Mean,Standard Deviation
1,39763070.95776135,4393724.66619498
2,39763070.95776135,4393724.66619498
3,39763070.95776135,4393724.66619498
4,39763070.95776135,4393724.66619498
5,39763070.95776135,4393724.66619498
