Iterations,Mean,Standard Deviation
1,39988523.7500843,4203781.596559583
2,39988523.7500843,4203781.596559583
3,39988523.7500843,4203781.596559583
4,39988523.7500843,4203781.596559583
5,39988523.7500843,4203781.596559583
