Iterations,Mean,Standard Deviation
1,39505602.86590876,4345893.587964353
2,39505602.86590876,4345893.587964353
3,39505602.86590876,4345893.587964353
4,39505602.86590876,4345893.587964353
5,39505602.86590876,4345893.587964353
