Iterations,Mean,Standard Deviation
1,40328051.882991344,4775240.968078095
2,40328051.882991344,4775240.968078095
3,40328051.882991344,4775240.968078095
4,40328051.882991344,4775240.968078095
5,40328051.882991344,4775240.968078095
