Iterations,Mean,Standard Deviation
1,39212813.17381642,4289200.920530624
2,39212813.17381649,4289200.920530624
3,39212813.17381656,4289200.920530624
4,39212813.17381663,4289200.920530624
5,39212813.173816696,4289200.920530624
