Iterations,Mean,Standard Deviation
1,39453778.31218928,4599086.182909385
2,39453778.31218928,4599086.182909385
3,39453778.31218928,4599086.182909385
4,39453778.31218928,4599086.182909385
5,39453778.31218928,4599086.182909385
