Iterations,Mean,Standard Deviation
1,40260452.83548943,4512282.300299041
2,40260452.83548943,4512282.300299041
3,40260452.83548943,4512282.300299041
4,40260452.83548943,4512282.300299041
5,40260452.83548943,4512282.300299041
