Iterations,Mean,Standard Deviation
1,39711070.126744516,4346071.3403852675
2,39711070.126744516,4346071.3403852675
3,39711070.126744516,4346071.3403852675
4,39711070.126744516,4346071.3403852675
5,39711070.126744516,4346071.3403852675
