Iterations,Mean,Standard Deviation
1,39188276.08044028,4693598.132997846
2,39188276.08044028,4693598.132997846
3,39188276.08044028,4693598.132997846
4,39188276.08044028,4693598.132997846
5,39188276.08044028,4693598.132997846
