Iterations,Mean,Standard Deviation
1,39949743.136644326,4786807.757378498
2,39949743.136644326,4786807.757378498
3,39949743.136644326,4786807.757378498
4,39949743.136644326,4786807.757378498
5,39949743.136644326,4786807.757378498
