Iterations,Mean,Standard Deviation
1,39819269.10206762,4329275.518812795
2,39819269.10206762,4329275.518812795
3,39819269.10206762,4329275.518812795
4,39819269.10206762,4329275.518812795
5,39819269.10206762,4329275.518812795
