Iterations,Mean,Standard Deviation
1,40232043.109296516,4476943.123830408
2,40232043.109296516,4476943.123830408
3,40232043.109296516,4476943.123830408
4,40232043.109296516,4476943.123830408
5,40232043.109296516,4476943.123830408
