Iterations,Mean,Standard Deviation
1,40655536.58836727,4339077.575160078
2,40655536.58836727,4339077.575160078
3,40655536.58836727,4339077.575160078
4,40655536.58836727,4339077.575160078
5,40655536.58836727,4339077.575160078
