Iterations,Mean,Standard Deviation
1,40780098.152870715,4266505.894857537
2,40780098.152870715,4266505.894857537
3,40780098.152870715,4266505.894857537
4,40780098.152870715,4266505.894857537
5,40780098.152870715,4266505.894857537
